"","ts","soil.pCO2","soil.d13C","soil.R14C","cave.pCO2","gas.volume","d13C","d44Ca","MgCa","DCP"
"1",7926,5280,-18,95,4500,450,-7.37000585231207,-0.610402306369884,1.37232326984177,6.61938979426349
"2",8558,5280,-18,100,4500,150,-7.36646156217602,-0.611589867078988,1.37099887150329,4.85019513004553
"3",12496,2780,-18,100,1000,200,-4.96327808116448,-0.206247129542092,1.60821919578187,6.01729896280325
"4",12873,5280,-18,100,4500,150,-6.47479281546159,-0.603415558626197,1.17008440074039,5.35341847456311
"5",13461,780,-18,100,500,350,-6.08075193311386,-0.494976668041436,1.27840412511397,7.66761012575117
"6",15390,1780,-18,100,180,250,-2.76329038774581,0.384404462619115,2.56357988159484,6.39229821004317
"7",24990,6280,-18,95,2000,350,-4.57336739333125,-0.116864130808914,1.73195101429176,7.05830458633429
"8",7926,5280,-18,95,4500,450,-7.37000585231207,-0.610402306369884,1.37232326984177,6.61938979426349
"9",8558,5280,-18,95,4500,450,-7.37000585231207,-0.610402306369884,1.37232326984177,6.61938979426349
"10",12496,4780,-18,95,2000,500,-4.96296543728203,-0.224189240757844,1.58770178617471,6.72783363138518
"11",12873,3780,-18,100,2500,50,-6.51592588033234,-0.558800267647541,1.2134813168944,16.3192752747529
"12",13461,5780,-18,100,3500,50,-6.06584195270499,-0.456481647063134,1.31758474585093,13.1365157723808
"13",15390,4780,-18,100,500,150,-2.79821678028602,0.386747059379688,2.58114860455508,5.67813734671505
"14",24990,6280,-18,95,2000,350,-4.57336739333125,-0.116864130808914,1.73195101429176,7.05830458633429
"15",7926,6280,-18,95,4000,500,-6.84729107566295,-0.45670926502539,1.55272169964757,6.31175205378801
"16",8558,1280,-18,100,1000,400,-7.25845075974807,-0.583413743974415,1.40200003552822,4.58264593577405
"17",12496,7780,-18,95,4000,500,-5.36922764758629,-0.332621020834756,1.45715452429092,6.27585599738003
"18",12873,5280,-18,100,2500,150,-5.41840341348421,-0.3265772352532,1.46278459804919,5.35341847456311
"19",13461,4780,-18,100,2000,100,-5.33277914421637,-0.289974715338981,1.5059371698737,8.16027684166876
"20",15390,7780,-18,95,3000,450,-4.84481726307451,-0.192200839675749,1.63188504495616,6.41341828875923
"21",24990,4780,-18,95,3500,450,-6.13308543878333,-0.53131184008659,1.24038618572697,6.91306005727028
"22",24990,4780,-18,95,4000,450,-6.13308543878333,-0.53131184008659,1.24038618572697,6.91306005727028
"23",12496,2780,-18,100,1000,200,-4.96327808116448,-0.206247129542092,1.60821919578187,6.01729896280325
"24",12873,5280,-18,100,4500,150,-6.47479281546159,-0.603415558626197,1.17008440074039,5.35341847456311
"25",13461,780,-18,100,500,350,-6.08075193311386,-0.494976668041436,1.27840412511397,7.66761012575117
"26",15390,1780,-18,100,180,250,-2.76329038774581,0.384404462619115,2.56357988159484,6.39229821004317
"27",24990,4780,-18,95,1500,450,-4.59385111575472,-0.124799408251275,1.71902926663469,6.91306005727028
"28",7926,6780,-18,95,4500,400,-6.82191689636213,-0.449302419383901,1.5622346197661,6.55345762402852
"29",8558,1280,-18,100,1000,400,-7.25845075974807,-0.583413743974415,1.40200003552822,4.58264593577405
"30",12496,7780,-18,95,4000,500,-5.36922764758629,-0.332621020834756,1.45715452429092,6.27585599738003
"31",12873,2280,-18,100,1000,250,-5.37173022993032,-0.317102067942221,1.47199689101653,5.51945221294921
"32",13461,1280,-18,100,500,250,-5.22613929940208,-0.272308782914843,1.52466906774127,7.75455290217526
"33",15390,7780,-18,95,3000,450,-4.84481726307451,-0.192200839675749,1.63188504495616,6.41341828875923
"34",24990,4780,-18,95,3500,450,-6.13308543878333,-0.53131184008659,1.24038618572697,6.91306005727028
"35",24990,4780,-18,95,4000,450,-6.13308543878333,-0.53131184008659,1.24038618572697,6.91306005727028
"36",12496,5280,-18,95,2500,500,-5.32638895865234,-0.320842484463291,1.46966170321952,6.62414627407639
"37",12873,4780,-18,100,2000,50,-5.51046973378377,-0.304171902944517,1.48863306997927,14.4955380861571
"38",13461,5280,-18,100,2000,50,-5.43006750707398,-0.286164127888067,1.51062278718287,13.7707323261217
"39",15390,7780,-18,95,3000,450,-4.84481726307451,-0.192200839675749,1.63188504495616,6.41341828875923
"40",24990,4780,-18,95,3500,500,-6.12888606873441,-0.53117574810424,1.24052190736112,6.72783363138518
"41",24990,4780,-18,95,4000,500,-6.12888606873441,-0.53117574810424,1.24052190736112,6.72783363138518
